question;answer;score;key;title
What are challenges of a 'Digital Twin'?;lack of access to high-quality data;0.7941;YIK4A9V7;Extracting Value from Data Using an Industrial Data Platform to Provide a Foundational Digital Twin
What are challenges of a 'Digital Twin'?;Getting to these levels of detail;0.7916;3YQXAS6F;Building and exploiting a Digital Twin for the management of drinking water distribution networks
What are challenges of a 'Digital Twin'?;monitoring voltage value and current value;0.7889;CMY8BKAB;A Low Cost Flexible Digital Twin Platform for Spacecraft Lithium-ion Battery Pack Degradation Assessment
What are challenges of a 'Digital Twin'?;information that is incomplete, redundant, in contradiction or imperfect;0.7812;KQ7KUXYU;A Reference Architecture for Smart Building Digital Twin
What are challenges of a 'Digital Twin'?;increasing autonomy;0.7763;EFZBB3W3;Ubiquitous knowledge empowers the Smart Factory: The impacts of a Service-oriented Digital Twin on enterprises' performance
What are challenges of a 'Digital Twin'?;manufacturing processes with little available knowledge;0.7753;DFUQQZLS;Challenges and Potentials of Digital Twins and Industry 4.0 in Product Design and Production for High Performance Products
What are challenges of a 'Digital Twin'?;all models and data are available consistently;0.7743;MKBKT4GR;Digital twin-driven cyber-physical production system towards smart shop-floor
What are challenges of a 'Digital Twin'?;complexity and variability;0.7733;N7YVDTF2;Review of digital twin about concepts, technologies, and industrial applications
What are challenges of a 'Digital Twin'?;how best to represent the Digital Twin that future research efforts will need to address;0.7723;UIAS2E56;Characterising the Digital Twin: A systematic literature review
What are challenges of a 'Digital Twin'?;increased geometrical quality;0.7711;TSITSDPP;Inspection Data to Support a Digital Twin for Geometry Assurance
What are challenges of a 'Digital Twin'?;data management and interactions;0.7655;SE8DHM9U;Digital Twin and CyberGIS for Improving Connectivity and Measuring the Impact of Infrastructure Construction Planning in Smart Cities
What are challenges of a 'Digital Twin'?;maintenance and life prediction;0.7601;4GDNPC75;Using digital twin for maintenance applications in manufacturing: State of the Art and Gap analysis
What are challenges of a 'Digital Twin'?;data- driven automated simulation model construction;0.7553;AERKAILM;CREATING THE DIGITAL TWIN WITH GENERAL PURPOSE SIMULATION MODELLING TOOLS
What are challenges of a 'Digital Twin'?;natural interfaces that give mental comfort to the user working directly with the system;0.7541;J8YNNMHC;Stages of Design of Digital Twin for Local Enterprise
What are challenges of a 'Digital Twin'?;process output, operator productivity, and tooling usage;0.7524;YS3JWYAU;Part data integration in the Shop Floor Digital Twin: Mobile and cloud technologies to enable a manufacturing execution system
What are challenges of a 'Digital Twin'?;hyper realism, computability, controllability, and predictability;0.7512;B85IJW7W;A Digital-Twin-Assisted Fault Diagnosis Using Deep Transfer Learning
What are challenges of a 'Digital Twin'?;product health monitoring, maintenance, fault diagnosis and quality prediction;0.7507;TYXVPFAM;Ontology-based modeling of part digital twin oriented to assembly
What are challenges of a 'Digital Twin'?;interaction between existing process model data and actual processing field data;0.7422;U3NBLLWC;The Modelling and Using Strategy for The Digital Twin in Process Planning
What are challenges of a 'Digital Twin'?;increases adequacy and validity in decision-making;0.7373;QR68EMV8;ABOUT A «DIGITAL TWIN» OF A FOOD PRODUCT
What are challenges of a 'Digital Twin'?;repeated Bayesian model calibrations;0.7328;INEDGTDM;The Airframe Digital Twin: Some Challenges to Realization
What are challenges of a 'Digital Twin'?;to manage the product multi-life-cycle running status in the market;0.7322;3R9HMIMG;Big data driven Hierarchical Digital Twin Predictive Remanufacturing paradigm: Architecture, control mechanism, application scenario and benefits
What are challenges of a 'Digital Twin'?;optimum predictive maintenance strategy;0.7281;QCKVFXQ6;A Review and Methodology Development for Remaining Useful Life Prediction of Offshore Fixed and Floating Wind turbine Power Converter with Digital Twin Technology Perspective
What are challenges of a 'Digital Twin'?;real-world economic activities are realistically simulated and represented;0.7265;LHRT4DUT;The Digital Twin of the Economy: Proposed Tool for Policy Design and Evaluation
What are challenges of a 'Digital Twin'?;globalization, new manufacturing techniques and liberalization policies;0.7261;F69GI4F3;A Digital Twin Concept for Manufacturing Systems
What are challenges of a 'Digital Twin'?;data storage space and retrieval efficiency;0.7239;YZFULY4I;Data Construction Method for the Applications of Workshop Digital Twin System
What are challenges of a 'Digital Twin'?;Increased penetration of fluctuating renewable energy resources;0.7239;N56JNSJ6;Challenges of developing a digital twin model of renewable energy generators
What are challenges of a 'Digital Twin'?;bullwhip and ripple effects;0.7236;4UPULIU5;The architectural framework of a cyber physical logistics system for digital-twin-based supply chain control
What are challenges of a 'Digital Twin'?;multiple data sources and modelled processes;0.7232;BFMEBHIH;Towards a Digital Twin with Generative Adversarial Network Modelling of Machining Vibration
What are challenges of a 'Digital Twin'?;long product lifecycles, difficulty in customizing products, high costs;0.7187;9NZ9WCB8;Designing a unique Digital Twin for linear infrastructures lifecycle management
What are challenges of a 'Digital Twin'?;accuracy, applicability, and peculiarities;0.7153;F3FQJ7HI;Application of Digital Twin for Gas Turbine Off-Design Performance and Operation Analyses
What are challenges of a 'Digital Twin'?;shorter product lifecycles, highly customized products and stiff global competition;0.715;TIKPF7GD;Contribution to the development of a Digital Twin based on product lifecycle to support the manufacturing process
What are challenges of a 'Digital Twin'?;real-time fatigue life consumption;0.7104;Z8SPLDW7;Augmented Kalman filter with a reduced mechanical model to estimate tower loads on an onshore wind turbine: a digital twin concept
What are challenges of a 'Digital Twin'?;efficiency;0.7095;FEKEXDCW;Towards a Digital Twin Supporting Risk Based Decision Making for Offshore Installations
What are challenges of a 'Digital Twin'?;to determine the required probability inputs;0.7067;IRXT3XZF;Probabilistic methods for risk assessment of airframe digital twin structures
What are challenges of a 'Digital Twin'?;improving the accuracy of existing and future simulation tools;0.7063;5RSDM6PW;The digital twin implementation for linking the virtual representation of human-based production tasks to their physical counterpart in the factory-floor
What are challenges of a 'Digital Twin'?;Automated detection of change scenarios in the real world and dealing with missing information;0.7028;6ETLIPBN;An architecture of an Intelligent Digital Twin in a Cyber-Physical Production System
What are challenges of a 'Digital Twin'?;how to converge the manufacturing physical world and the virtual world;0.7024;V39ZWKXQ;Digital Twin Shop-Floor: A New Shop-Floor Paradigm Towards Smart Manufacturing
What are challenges of a 'Digital Twin'?;urban transformation;0.6969;STCNPGBQ;A Visionary Model on Blockchain-based Accountability for Secure and Collaborative Digital Twin Environments
What are challenges of a 'Digital Twin'?;exploring and operating in harsh environments normally inaccessible by humans;0.6962;AF5UVBCQ;Finding Meaning, Application for the Much-Discussed Digital Twin
What are challenges of a 'Digital Twin'?;determining the implementation level (specification) of its components;0.6928;IJGW6UVW;Deriving a Cost-Effective Digital Twin of an ICS to Facilitate Security Evaluation
What are challenges of a 'Digital Twin'?;how to cost effectively create it;0.6922;P75PEQWC;Automated Creation of the Pipeline Digital Twin During Construction: Improvement to Construction Quality and Pipeline Integrity
What are challenges of a 'Digital Twin'?;connectivity, integration and multidisciplinary research;0.6916;PHDIVR6K;Digital Twin: Enabling Technologies, Challenges and Open Research
What are challenges of a 'Digital Twin'?;we design a Chi-square detector to monitor the estimation process;0.6896;C2D77GFH;A Game-Theoretic Approach to Secure Estimation and Control for Cyber-Physical Systems with a Digital Twin
What are challenges of a 'Digital Twin'?;accidents that may occur when training new employees using operating physical assets;0.6895;34FWNV6J;Digital Twin for the Oil and Gas Industry: Overview, Research Trends, Opportunities, and Challenges
What are challenges of a 'Digital Twin'?;long-term efforts and strategic considerations;0.6884;X9W58MWL;Digital twin for Advanced Service delivery systems: Opportunities and challenges
What are challenges of a 'Digital Twin'?;The patent technology of each country is developed independently;0.6883;AMA5QADB;Revolution on digital twin technology—a patent research approach
What are challenges of a 'Digital Twin'?;information redundancy;0.6862;5AQLPFJQ;Disaster City Digital Twin: A vision for integrating artificial and human intelligence for disaster management
What are challenges of a 'Digital Twin'?;increased system complexity as well as abrupt market requirement changes;0.6851;CKFD74VI;Consistency check to synchronize the Digital Twin of manufacturing automation based on anchor points
What are challenges of a 'Digital Twin'?;how to realize the effective cyber–physical fusion;0.6832;GKL3GBBR;Digital Twin in Industry: State-of-the-Art
What are challenges of a 'Digital Twin'?;most of the manufacturing phenomena are stochastically nonlinear;0.6806;YDXA6GDW;Creating Digital Twin of Processed Surface for Industry 4.0
What are challenges of a 'Digital Twin'?;to also quantify the confidence in the fused data;0.6746;NHT35NVG;Aerodynamic Data Fusion Towards the Digital Twin Paradigm
What are challenges of a 'Digital Twin'?;safety and reliability;0.6743;H2CSBLBG;From ROM of Electrochemistry to AI-Based Battery Digital and Hybrid Twin
What are challenges of a 'Digital Twin'?;to ensure production with minimal cost and high customization;0.6739;B5NQWNVI;Digital Twin of Experimental Smart Manufacturing Assembly System for Industry 4.0 Concept
What are challenges of a 'Digital Twin'?;virtual reality interaction, real-time mapping, and symbiotic evolution;0.6715;RYXTZ4AX;Digital-Twin-Based Job Shop Scheduling Toward Smart Manufacturing
What are challenges of a 'Digital Twin'?;data quality of the motion data;0.6707;C2KVEFBF;The Digital Twin: Realizing the Cyber-Physical Production System for Industry 4.0
What are challenges of a 'Digital Twin'?;configurations affect data availability, applicable limit values or the impact of certain factors;0.6705;HGN9RFA9;Dynamic digital twin for predictive maintenance in flexible production systems
What are challenges of a 'Digital Twin'?;Sensors and actuators;0.67;EC7HGVVY;Digital twin-driven product design framework
What are challenges of a 'Digital Twin'?;confidentiality, integrity, and availability of manufacturing data;0.6699;397MM288;Concept and Implementation of a Cyber-Physical Digital Twin for a SMT Line
What are challenges of a 'Digital Twin'?;modelling a realworld object;0.6693;MZX744LI;Why Robots do not matter! Using Digital Twin and Augmented Learning for Continuous Improvement in the context of Manufacturing
What are challenges of a 'Digital Twin'?;machining accuracy, chip formation and tool wear;0.6687;ZWW4HY3Q;Digital equipment twin as the basis for the consumer in digital production
What are challenges of a 'Digital Twin'?;to store all damage information in term of a surface model;0.6673;7DHG5GCV;Development of a bridge maintenance system for prestressed concrete bridges using 3D digital twin model
What are challenges of a 'Digital Twin'?;affects the real copy of the device;0.6672;IZK6BTI2;Proposal of Digital Twin Platform Based on 3D Rendering and IIoT Principles Using Virtual / Augmented Reality
What are challenges of a 'Digital Twin'?;file formats and data standardization;0.6611;NLJV32BD;Building a digital twin for additive manufacturing through the exploitation of blockchain: A case analysis of the aircraft industry
What are challenges of a 'Digital Twin'?;managing the inevitable shift in workplace dynamics;0.6567;T4RKMT4Y;Challenges of Digital Twin System
What are challenges of a 'Digital Twin'?;construction scenario simulation, innovative teaching approaches and operations scenario simulation;0.6565;6R43JINI;Development of a Digital Twin Model for Real-Time Assessment of Collision Hazards
What are challenges of a 'Digital Twin'?;resiliency of interconnected microgrids;0.6543;93U6AM3G;On the Implementation of IoT-Based Digital Twin for Networked Microgrids Resiliency Against Cyber Attacks
What are challenges of a 'Digital Twin'?;different standardization waves will inter-mix;0.653;UN6UGX5A;A Survey on the Necessity for a Digital Twin of Production in the Automotive Industry
What are challenges of a 'Digital Twin'?;safety, reliability, durability, and cost;0.6513;WBQY93UF;Digital twin for battery systems: Cloud battery management system with online state-of-charge and state-of-health estimation
What are challenges of a 'Digital Twin'?;future work direction;0.6507;5RB32K7Y;Digital twin-driven rapid reconfiguration of the automated manufacturing system via an open architecture model
What are challenges of a 'Digital Twin'?;faster decision-making;0.6501;AM8RKH94;Simulation-based Analysis of the Interaction of a Physical and a Digital Twin in a Cyber-Physical Production System
What are challenges of a 'Digital Twin'?;simulation and test separation;0.6453;7L4L2VAH;Digital Twin of Solid Rocket Motor, Problem and Challenge
What are challenges of a 'Digital Twin'?;lack of preparation;0.6434;UCS7UE3H;Product Processes based on Digital Twin
What are challenges of a 'Digital Twin'?;prevention of substandard products which do not meet quality requirements;0.643;CUYMP9GJ;Improvement of the quality of designed cylindrical grinding cycle with traverse feeding based on the use of digital twin options
What are challenges of a 'Digital Twin'?;determining the remaining life of components before they need to be dismantled;0.6428;7F57WGLA;Lifespan Prediction Technique for Digital Twin-Based Noise Barrier Tunnels
What are challenges of a 'Digital Twin'?;integral parts;0.6397;KAXEGG8F;Digital Thread and Twin for Systems Engineering: EMD to Disposal
What are challenges of a 'Digital Twin'?;compatibility and interoperability challenges;0.6383;HVRNXY7P;Digital twin-based WEEE recycling, recovery and remanufacturing in the background of Industry 4.0
What are challenges of a 'Digital Twin'?;to simulate the assembly procedure and predict the deviations and stresses;0.6358;M33SUG6F;Individualizing Locator Adjustments of Assembly Fixtures Using a Digital Twin
What are challenges of a 'Digital Twin'?;different measures of error would be of interest;0.6352;T8SFN6YS;Digital Twin Based Condition Monitoring of a Knuckle Boom Crane: an Experimental Study
What are challenges of a 'Digital Twin'?;developing more agile digital models and simulation engine;0.6304;9AYI984A;Digital twin-based industrial cloud robotics: Framework, control approach and implementation
What are challenges of a 'Digital Twin'?;precision cardiology;0.6293;CNPU63SP;The ‘Digital Twin’ to enable the vision of precision cardiology
What are challenges of a 'Digital Twin'?;high complexity of the simulated systems;0.6239;8YVY46WS;Virtualization of Production Using Digital Twin Technology
What are challenges of a 'Digital Twin'?;interfaces to the real building and vice versa;0.6235;9F7EW66Z;A Digital Twin for Directing People Flow in Preserved Heritage Buildings
What are challenges of a 'Digital Twin'?;performance hurdles;0.6226;4W8JW9WW;Digital twin-based cyber physical production system architectural framework for personalized production
What are challenges of a 'Digital Twin'?;central issues;0.6217;TJMJYHAG;Digital Twin Concepts in Manufacturing Industries - A Literature Review and Avenues for Further Research
What are challenges of a 'Digital Twin'?;distributed and heterogeneous nature of the information;0.621;U5I89LUX;Planning Agricultural Core Road Networks Based on a Digital Twin of the Cultivated Landscape
What are challenges of a 'Digital Twin'?;connectedness in cyberspace;0.6206;9TV54YQA;A Six-Layer Digital Twin Architecture for a Manufacturing Cell
What are challenges of a 'Digital Twin'?;failure detection and diagnostics of artificial lift systems;0.6185;XWV2KBZT;Electrical Submersible Pump Digital Twin, the Missing Link for Successful Condition Monitoring and Failure Prediction
What are challenges of a 'Digital Twin'?;considerable variations within engines;0.6178;VL824NRW;Fleet Monitoring and Diagnostics Framework Based on Digital Twin of Aero-Engines
What are challenges of a 'Digital Twin'?;risk control and prevention;0.613;L38AT93I;Digital Twin Reference Model Development to Prevent Operators’ Risk in Process Plants
What are challenges of a 'Digital Twin'?;enabling an informed decisionmaking;0.6125;XV8ZPM6B;Exploring the role of Digital Twin for Asset Lifecycle Management
What are challenges of a 'Digital Twin'?;presenting a huge amount of collected data and information;0.6117;EGURTTDW;Visualisation of the Digital Twin data in manufacturing by using Augmented Reality
What are challenges of a 'Digital Twin'?;less detailed programming and human control;0.6107;YIJDSXQZ;Defining a Digital Twin-based Cyber-Physical Production System for autonomous manufacturing in smart shop floors
What are challenges of a 'Digital Twin'?;deploying and taking advantage of evidence-based strategic decisions to enhance profit gain;0.6085;MG5A9EK7;Industrial IoT integrated with Simulation – A Digital Twin approach to support real-time decision making
What are challenges of a 'Digital Twin'?;Conflicts of interest None;0.6077;9AQEKTQ5;A digital twin-driven approach for the assembly-commissioning of high precision products
What are challenges of a 'Digital Twin'?;Root-cause failure analysis and predictive maintenance;0.607;6FT5QEXR;Challenges in Digital Twin Development for Cyber-Physical Production Systems
What are challenges of a 'Digital Twin'?;To obtain modulation signal vm;0.6068;Q96SYKA8;Application of Digital Twin Concept in Condition Monitoring for DC-DC Converters
What are challenges of a 'Digital Twin'?;reducing losses, improving process stability, reducing downtime and anomalies;0.6065;Y4QYP5DW;Combination of Digital Twin and Artificial Intelligence in Manufacturing Using Industrial IoT
What are challenges of a 'Digital Twin'?;complex interactions of production assets and setting parameters;0.6059;LRIA73PJ;Model-Driven Development of a Digital Twin for Injection Molding
What are challenges of a 'Digital Twin'?;real-time production monitoring, simulation analysis, and feedback control of physical systems;0.6046;RDF7RYVE;Event-Driven Online Machine State Decision for Energy-Efficient Manufacturing System Based on Digital Twin Using Max-Plus Algebra
What are challenges of a 'Digital Twin'?;helps optimize business performance;0.6042;NLXERBF6;The logistics network digital twin in view of concept of the non-destructive quality control methods
What are challenges of a 'Digital Twin'?;To reduce the number of damaged potatoes during the harvest;0.6026;MBXZQSFJ;Business Models for Industrial Smart Services – The Example of a Digital Twin for a Product-Service-System for Potato Harvesting
What are challenges of a 'Digital Twin'?;any reconditioning project;0.6026;ZHBHAAL2;Digital Twin: Applying emulation for machine reconditioning
What are challenges of a 'Digital Twin'?;wider time scales and more realistic communication contracts;0.6015;S5HE9DL8;SoC-based Digital Twin of Power System Simulation
What are challenges of a 'Digital Twin'?;performance, the surface quality, and the mechanical properties;0.597;TVJGMFUL;Digital twin modeling method based on biomimicry for machining aerospace components
What are challenges of a 'Digital Twin'?;fault prediction and fault location accuracy and optimality of maintenance strategy;0.5962;2IUAH3RV;Data Super-Network Fault Prediction Model and Maintenance Strategy for Mechanical Product Based on Digital Twin
What are challenges of a 'Digital Twin'?;they introduce changes to information (concepts) dependencies;0.5956;IMCMWAMK;Human Digital Twin: Enabling Human-Multi Smart Machines Collaboration
What are challenges of a 'Digital Twin'?;productivity and efficiency;0.5881;T7MURFP2;A Digital Twin for Grinding Wheel: An Information Sharing Platform for Sustainable Grinding Process
What are challenges of a 'Digital Twin'?;leads to added value, and creates new markets;0.5873;92IKZYUB;NDE 4.0: The Fourth Revolution in Non- Destructive Evaluation: Digital Twin, Semantics, Interfaces, Networking, Feedback, New Markets and Integration into the Industrial Internet of Things
What are challenges of a 'Digital Twin'?;inaccurate descriptions and ambiguity for assembly operators;0.587;YW6CP7MP;Digital twin-based smart assembly process design and application framework for complex products and its case study
What are challenges of a 'Digital Twin'?;determination of the detail-level of the power system model;0.5858;7SE535CS;Recent and prospective developments in power system control centers: Adapting the digital twin technology for application in power system control centers
What are challenges of a 'Digital Twin'?;there can be differences between the real production system and the state of planning;0.5855;LKMU2FJ3;A digital twin for production planning based on cyber-physical systems: A Case Study for a Cyber-Physical System-Based Creation of a Digital Twin
What are challenges of a 'Digital Twin'?;production planning, production process operation instructions, and production elements;0.5852;MUR2TA47;Framework for manufacturing-tasks semantic modelling and manufacturing-resource recommendation for digital twin shop-floor
What are challenges of a 'Digital Twin'?;significant computational cost, and too little use of simulation methods;0.5849;2JVRVXWD;Sensor Control in Anti-Submarine Warfare—A Digital Twin and Random Finite Sets Based Approach
What are challenges of a 'Digital Twin'?;what will happen in the overall production line when a certain parameter is changed;0.5848;ZUM4GYJH;The digital twin of an industrial production line within the industry 4.0 concept
What are challenges of a 'Digital Twin'?;we may have access to additional tank information;0.5848;A6KZXRXT;Visualising the digital twin using web services and augmented reality
What are challenges of a 'Digital Twin'?;enhances democratic decision-making for smart, sustainable cities;0.58;G6DDC4MX;DIGITAL TWIN, VIRTUAL REALITY AND SPACE SYNTAX: CIVIC ENGAGEMENT AND DECISION SUPPORT FOR SMART, SUSTAINABLE CITIES.
